bien,VIF
thal_2,31.736900755514508
thal_3,31.19803357492868
thal_1,7.401773526122157
slope_2,6.441644038356309
slope_1,5.503435443084759
oldpeak,1.9884325341277242
thalach,1.7470574554820608
cp_2,1.68364016381385
age,1.5448258087102953
exang,1.5436789488733087
cp_1,1.5304711016160215
sex,1.4224338482366363
ca_2,1.3891752397090018
ca_3,1.3235440042931945
cp_3,1.293173438453812
ca_1,1.2738631156380809
trestbps,1.2132966248055852
chol,1.1618040848846087
restecg_1,1.1602826641671131
fbs,1.1271288424996566
restecg_2,1.106984780400624
ca_4,1.056868387241197
